Date,Open,High,Low,Close,Adj Close,Volume
2021-10-15,928,546.0,503.0,585.0,515.0,535.0
2021-10-08,928,535.0,473.0,583.0,515.0,520.0
2021-10-01,928,528.0,455.0,582.0,515.0,455.0
2021-09-24,930,527.0,448.0,574.0,475.0,455.0
2021-09-17,930,535.0,443.0,586.0,475.0,455.0
2021-09-10,930,537.0,445.0,586.0,475.0,450.0
2021-09-03,930,545.0,449.0,574.0,475.0,455.0
2021-08-27,925,551.0,455.0,571.0,513.5,450.0
2021-08-20,925,546.0,460.0,577.0,513.5,450.0
2021-08-13,925,545.0,461.0,586.0,513.5,455.0
2021-08-06,925,545.0,467.0,596.0,513.5,455.0
2021-07-30,862,545.0,468.0,596.0,513.5,470.0
2021-07-23,862,534.0,470.0,582.0,513.5,475.0
2021-07-16,862,533.0,471.0,583.0,513.5,480.0
2021-07-09,862,523.0,471.0,581.0,513.5,480.0
2021-07-02,862,511.0,469.0,582.0,510.0,490.0
2021-06-25,845,511.0,464.0,583.0,510.0,490.0
2021-06-18,845,499.0,465.0,572.0,510.0,510.0
2021-06-11,845,493.0,464.0,562.0,515.0,470.0
2021-06-04,845,492.0,465.0,560.0,538.0,460.0
2021-05-28,803,492.0,465.0,606.0,538.0,470.0
2021-05-21,803,472.0,454.0,651.0,505.0,490.0
2021-05-14,803,443.0,405.0,578.0,505.0,500.0
2021-05-07,803,430.0,404.0,547.0,447.0,430.0
2021-04-30,803,429.0,404.0,540.0,431.0,430.0
2021-04-23,803,429.0,402.0,537.0,431.0,430.0
2021-04-16,803,415.0,379.0,520.0,431.0,430.0
2021-04-09,803,409.0,377.0,517.0,431.0,415.0
2021-04-02,803,394.0,379.0,516.0,431.0,400.0
2021-03-26,715,396.0,383.0,497.0,431.0,400.0
2021-03-19,715,405.0,386.0,497.0,431.0,410.0
2021-03-12,715,412.0,393.0,497.0,443.5,420.0
2021-03-05,715,401.0,381.0,497.0,443.5,435.0
2021-02-26,715,382.0,369.0,494.0,443.5,425.0
