date,분기고시가,weightA,priceUSA_TAIWAN,priceJP,priceCN,importPriceUSA,importPriceJP,stock,USD_KR,JPY_KR,quarter,scrap,scrap_gap
2021-10-15,928,546.0,473.0,503.0,585.0,515.0,535.0,884.0,1183.0,1035.04,2021.4,540.7,923.2923076923078
2021-10-08,928,535.0,463.0,473.0,583.0,515.0,520.0,914.0,1190.5,1068.58,2021.4,530.0,923.2923076923078
2021-10-01,928,528.0,464.0,455.0,582.0,515.0,455.0,955.0,1186.0,1058.6,2021.4,512.0999999999999,923.2923076923078
2021-09-24,930,527.0,464.0,448.0,574.0,475.0,455.0,938.0,1174.0,1068.49,2021.3,507.4,925.9013461538461
2021-09-17,930,535.0,455.0,443.0,586.0,475.0,455.0,938.0,1173.5,1072.82,2021.3,513.0,925.9013461538461
2021-09-10,930,537.0,453.0,445.0,586.0,475.0,450.0,870.0,1170.0,1064.27,2021.3,513.4,925.9013461538461
2021-09-03,930,545.0,443.0,449.0,574.0,475.0,455.0,788.0,1157.0,1052.63,2021.3,520.0,925.9013461538461
2021-08-27,925,551.0,442.0,455.0,571.0,513.5,450.0,688.0,1170.0,1062.09,2021.3,527.05,922.3738461538461
2021-08-20,925,546.0,441.0,460.0,577.0,513.5,450.0,690.0,1184.0,1079.31,2021.3,523.55,922.3738461538461
2021-08-13,925,545.0,435.0,461.0,586.0,513.5,455.0,705.0,1169.0,1059.98,2021.3,523.85,922.3738461538461
2021-08-06,925,545.0,435.0,467.0,596.0,513.5,455.0,756.0,1143.0,1041.32,2021.3,523.85,922.3738461538461
2021-07-30,862,545.0,440.0,468.0,596.0,513.5,470.0,778.0,1147.5,1047.79,2021.3,526.85,863.3192307692307
2021-07-23,862,534.0,459.0,470.0,582.0,513.5,475.0,711.0,1150.5,1041.41,2021.3,520.15,863.3192307692307
2021-07-16,862,533.0,462.0,471.0,583.0,513.5,480.0,713.0,1141.0,1036.38,2021.3,520.4499999999999,863.3192307692307
2021-07-09,862,523.0,465.0,471.0,581.0,513.5,480.0,725.0,1148.5,1043.19,2021.3,513.4499999999999,863.3192307692307
2021-07-02,862,511.0,457.0,469.0,582.0,510.0,490.0,784.0,1136.0,1019.25,2021.3,506.7,863.3192307692307
2021-06-25,845,511.0,452.0,464.0,583.0,510.0,490.0,777.0,1128.0,1018.65,2021.2,506.7,848.0680769230769
2021-06-18,845,499.0,450.0,465.0,572.0,510.0,510.0,803.0,1130.5,1026.46,2021.2,502.29999999999995,848.0680769230769
2021-06-11,845,493.0,445.0,464.0,562.0,515.0,470.0,821.0,1112.5,1015.94,2021.2,490.59999999999997,848.0680769230769
2021-06-04,845,492.0,440.0,465.0,560.0,538.0,460.0,790.0,1115.5,1012.62,2021.2,490.2,848.0680769230769
2021-05-28,803,492.0,459.0,465.0,606.0,538.0,470.0,776.0,1114.5,1014.85,2021.2,492.2,824.113076923077
2021-05-21,803,472.0,472.0,454.0,651.0,505.0,490.0,855.0,1128.5,1038.7,2021.2,478.9,824.113076923077
2021-05-14,803,443.0,457.0,405.0,578.0,505.0,500.0,895.0,1128.0,1032.07,2021.2,460.59999999999997,824.113076923077
2021-05-07,803,430.0,435.0,404.0,547.0,447.0,430.0,968.0,1120.5,1026.66,2021.2,431.7,824.113076923077
2021-04-30,803,429.0,420.0,404.0,540.0,431.0,430.0,957.0,1113.0,1022.18,2021.2,429.4,801.873076923077
2021-04-23,803,429.0,422.0,402.0,537.0,431.0,430.0,894.0,1116.5,1034.52,2021.2,429.4,801.873076923077
2021-04-16,803,415.0,430.0,379.0,520.0,431.0,430.0,904.0,1114.5,1023.7,2021.2,419.6,801.873076923077
2021-04-09,803,409.0,415.0,377.0,517.0,431.0,415.0,962.0,1120.0,1021.48,2021.2,412.4,801.873076923077
2021-04-02,803,394.0,401.0,379.0,516.0,431.0,400.0,936.0,1128.0,1021.79,2021.2,398.9,801.873076923077
2021-03-26,715,396.0,390.0,383.0,497.0,431.0,400.0,938.0,1129.5,1031.98,2021.1,400.3,794.6374038461538
2021-03-19,715,405.0,400.0,386.0,497.0,431.0,410.0,853.0,1130.0,1039.89,2021.1,408.6,794.6374038461538
2021-03-12,715,412.0,427.0,393.0,497.0,443.5,420.0,839.0,1136.5,1041.95,2021.1,416.75,794.6374038461538
2021-03-05,715,401.0,430.0,381.0,497.0,443.5,435.0,818.0,1129.0,1040.89,2021.1,412.05,794.6374038461538
2021-02-26,715,382.0,425.0,369.0,494.0,443.5,425.0,912.0,1123.0,1058.19,2021.1,396.75,809.3661538461538
2021-02-19,715,361.0,400.0,353.0,494.0,391.0,405.0,945.0,1103.5,1047.71,2021.1,372.8,809.3661538461538
2021-02-10,715,360.0,367.0,337.0,494.0,398.0,350.0,943.0,1105.0,1058.18,2021.1,361.8,809.3661538461538
2021-02-05,715,369.0,367.0,336.0,494.0,398.0,350.0,939.0,1123.0,1065.82,2021.1,368.1,809.3661538461538
2021-01-29,715,381.0,395.0,370.0,455.0,440.0,350.0,972.0,1117.5,1067.95,2021.1,380.7,682.2923076923078
2021-01-22,715,404.0,417.0,388.0,455.0,440.0,395.0,918.0,1105.0,1066.24,2021.1,405.79999999999995,682.2923076923078
2021-01-15,715,418.0,445.0,389.0,455.0,440.0,420.0,795.0,1100.0,1060.39,2021.1,420.59999999999997,682.2923076923078
2021-01-08,715,408.0,447.0,389.0,455.0,440.0,430.0,733.0,1092.0,1050.76,2021.1,415.59999999999997,682.2923076923078
2021-01-01,715,387.0,447.0,369.0,441.0,440.0,420.0,811.0,1087.0,1054.06,2021.1,398.9,682.2923076923078
2020-12-25,685,377.0,437.0,369.0,441.0,440.0,420.0,852.0,1103.0,1064.72,2020.4,391.9,701.6838461538462
2020-12-18,685,329.0,400.0,342.0,441.0,440.0,415.0,831.0,1098.5,1061.71,2020.4,357.29999999999995,701.6838461538462
2020-12-11,685,312.0,365.0,312.0,441.0,306.0,400.0,845.0,1092.0,1048.54,2020.4,329.0,701.6838461538462
2020-12-04,685,312.0,323.0,291.0,441.0,306.0,330.0,853.0,1084.0,1042.61,2020.4,315.0,701.6838461538462
2020-11-27,685,312.0,312.0,281.0,400.0,306.0,320.0,855.0,1105.0,1062.24,2020.4,313.0,692.5138461538461
2020-11-20,685,308.0,308.0,270.0,400.0,306.0,305.0,810.0,1116.5,1075.16,2020.4,307.20000000000005,692.5138461538461
2020-11-13,685,303.0,292.0,257.0,400.0,306.0,305.0,857.0,1113.5,1059.47,2020.4,303.70000000000005,692.5138461538461
2020-11-06,685,287.0,288.0,250.0,400.0,306.0,285.0,925.0,1121.0,1083.56,2020.4,288.5,692.5138461538461
2020-10-30,685,283.0,280.0,247.0,403.0,306.0,275.0,933.0,1134.5,1086.63,2020.4,283.7,685.123076923077
2020-10-23,685,285.0,275.0,246.0,403.0,306.0,260.0,908.0,1128.0,1078.34,2020.4,282.1,685.123076923077
2020-10-16,685,289.0,265.0,246.0,403.0,306.0,260.0,893.0,1146.0,1089.09,2020.4,284.9,685.123076923077
2020-10-09,685,288.0,269.0,246.0,403.0,306.0,270.0,920.0,1152.5,1087.06,2020.4,286.2,685.123076923077
2020-10-02,685,289.0,270.0,246.0,403.0,306.0,270.0,912.0,1169.0,1106.11,2020.4,286.9,685.123076923077
