date,weightA,gosi,priceUSA_TAIWAN,priceJP,priceCN,importPriceUSA,importPriceJP,stock,USD_KR,JPY_KR,scrap,stock_trend
2017-01-06,295,620,301955.5,260931.7,302432.9,337760.5,334180,869,1193.5,1027.29,100818.55,1000.161491
2017-01-13,280,620,294925,263114,297745,327825,329000,846,1175,1023.79,98778.5,999.7781738
2017-01-20,270,620,294674,261391.4,297491.6,327546,316980,944,1174,1021.06,96339.6,999.3948561
2017-01-27,270,620,296437.5,260719.7,294577.5,324337.5,290625,1019,1162.5,1022.43,90747.75,999.0115384
2017-02-03,264,620,280356,256797.5,291501.3,320571,281505,1007,1149,1015.01,88542.9,998.6282207
2017-02-10,256,620,272076,250554.4,291247.6,320292,292740,1064,1148,1010.3,90756.4,998.244903
2017-02-17,255,620,281260,250381.4,291247.6,320292,304220,1055,1148,1013.69,93051.7,997.8615853
2017-02-24,252,620,284006.5,246021.7,287061.6,315688.5,322477.5,1141,1131.5,1004.17,96240.75,997.4782676
2017-03-03,252,620,311233,255109.7,299547.3,322803,335530,1085,1157,1012.34,99562.7,997.09495
2017-03-10,263,620,319470,264778.8,299676.8,322942.5,353037.5,1005,1157.5,1002.95,103085.85,996.7116323
2017-03-17,278,620,318373,279122.8,293333.7,316107,345565,1065,1133,1000.44,100918.3,996.3283146
2017-03-24,284,620,312055,286681,290615.3,314300,325525,1110,1122.5,1009.44,96733.8,995.9449969
2017-03-31,277,620,301860,283795.5,289450.2,313040,313040,1117,1118,999.28,94105.9,995.5616793
2017-04-07,271,635,294840,286064.3,294273,317520,306180,1194,1134,1025.32,93177.7,995.1783616
2017-04-14,264,635,290955,290279.4,296089.5,319480,308070,1205,1141,1047.94,93746.8,994.7950439
2017-04-21,263,635,284000,283244.5,294792,318080,301040,1181,1136,1041.34,92200.1,994.4117262
2017-04-28,260,635,267430,268125.6,295311,318640,290190,1117,1138,1023.38,90084,994.0284086
2017-05-12,254,635,261580,228258.9,272404,315700,270600,1132,1127.5,992.43,85867.8,993.2617732
2017-05-19,250,635,267274,230641.9,271316.8,314440,269520,1127,1123,1007.17,85523,992.8784555
2017-05-26,246,635,266322,228634.4,270350.4,313320,279750,1125,1119,1007.2,87454.2,992.4951379
2017-06-02,239,635,267274,230644.2,248183,314440,269520,1141,1123,1007.18,85515.3,992.1118202
2017-06-09,239,635,272008,233064.8,248404,314720,269760,1096,1124,1017.75,85591.3,991.7285025
2017-06-16,240,635,281108,234215.9,250616.9,317380,294710,1043,1133.5,1018.33,90848,991.3451848
2017-06-23,250,635,284500,244413.4,251611.8,318640,300432,977,1138,1022.65,92125.4,990.9618671
2017-06-30,261,635,284607,247275.6,252717.3,320040,297180,939,1143,1021.8,91622.7,990.5785495
2017-07-07,261,645,291962,245380.7,261034.8,325428,305810,913,1154,1013.97,93887.5,990.1952318
2017-07-14,257,645,292959,242554.2,256850.1,320211,300907.5,941,1135.5,1002.29,92382.5,989.8119141
2017-07-21,253,645,294297,254228.6,253117.8,315558,318915,961,1119,1000.9,95515.9,989.4285964
2017-07-28,254,645,302805,258186.2,253683.3,316263,330842.5,915,1121.5,1008.54,97972.6,989.0452787
2017-08-04,258,645,309512.5,265761.6,297807.3,317391,332022.5,878,1125.5,1022.16,98324.2,988.661961
2017-08-11,273,645,320320,276055.3,302702.4,322608,354640,767,1144,1049.64,103379.9,988.2786433
2017-08-18,288,645,330890,281613.4,301908.6,384517,370825,724,1141,1046.89,112818.3,987.8953256
2017-08-25,300,645,334719,294984.3,298204.2,379799,377545,728,1127,1027.82,113698.9,987.5120079
2017-09-01,302,645,333234,302773.7,296881.2,378114,364650,769,1122,1019.44,110952.8,987.1286903
2017-09-08,303,645,332220,311558.9,311541,396630,367250,783,1130,1049.02,113325.1,986.7453727
2017-09-15,316,645,331383,303412.2,311816.7,396981,367575,762,1131,1021.59,113434.3,986.362055
2017-09-22,326,645,334825,307111.7,312919.5,398385,368875,733,1135,1013.57,113841.7,985.9787374
2017-09-29,329,645,332485,313885.9,316090.1,402421.5,361147.5,747,1146.5,1019.11,112701.95,985.5954198
2017-10-13,328,685,310475,298220,310249.2,363538,344345,800,1129,1007.5,105452.4,984.8287845
2017-10-20,319,685,311575,294817.1,312481.4,364826,345565,897,1133,999.38,105818.9,984.4454669
2017-10-27,310,685,317530,292566.3,311654,363860,344650,942,1130,991.75,105533,984.0621493
2017-11-03,308,685,320148.5,288480.5,309105.1,359191,345805,981,1115.5,977.9,105295.7,983.6788317
2017-11-10,302,685,333462,298648.9,310074.9,363675,352485,1030,1119,985.64,107075.9,983.295514
2017-11-17,301,685,333148.5,305691.5,304671.5,357337.5,362835,1033,1099.5,976.65,108511.45,982.9121964
2017-11-24,319,685,331535,315286.8,301207.7,353275,364145,987,1087,976.12,108379.8,982.5288788
2017-12-01,328,685,335265,320194.1,300653.5,376495,368900,941,1085,964.44,111659.1,982.1455612
2017-12-08,341,685,338046,320858.8,334217,382900,382900,953,1094,963.54,115108.7,981.7622435
2017-12-15,346,685,354250,329626.7,332995,381500,386950,934,1090,972.35,115782.2,981.3789259
2017-12-22,348,685,356400,325826.8,329940,378000,388800,936,1080,952.71,115803.6,980.9956083
2017-12-29,348,685,362950,324120.2,326121.3,373625,384300,957,1067.5,947.72,114466.1,980.6122908
2018-01-05,349,715,366907.5,321360.3,324899.3,372225,382860,927,1063.5,939.65,114038.8,980.2289732
2018-01-12,354,715,372750,328384.8,398310,372750,383400,907,1065,957.39,114202.8,979.8456556
2018-01-19,361,715,380740.5,335816.5,398871,373275,394605,899,1066.5,964.99,116501.2,979.4623381
2018-01-26,356,715,375412.5,351972,398310,372750,388725,962,1065,977.7,115269.2,979.0790205
2018-02-02,345,715,368900,354850,426079.5,379750,385175,998,1085,988.44,115251.5,978.6957029
2018-02-09,337,715,353925,351835.1,427650.3,381150,375705,1026,1089,996.7,113491.9,978.3123854
2018-02-16,330,715,350675,344821.3,423723.3,377650,366860,1051,1079,1005.31,111368,977.9290677
2018-02-23,329,715,350675,346306.5,423723.3,377650,366860,1050,1079,1009.64,111367.3,977.5457501
2018-03-02,327,715,362712,350103.5,409346.4,377825,394017.5,1071,1079.5,1020.71,116814.9,977.1624325
2018-03-09,330,715,374850,347204.1,406123.2,374850,396270,1003,1071,1003.48,116970,976.7791148
2018-03-16,341,715,389455,351935.1,404606.4,373450,394790,924,1067,1008.41,116541.7,976.3957972
2018-03-23,357,715,399600,362331.2,409536,378000,399600,922,1080,1029.35,117969.9,976.0124796
2018-03-30,359,715,377187.5,353067.1,402900,371875,382500,931,1062.5,1000.19,113938.8,975.6291619
2018-04-06,354,725,379672.5,341535.4,405554.4,374325,374325,997,1069.5,995.73,112545.3,975.2458443
2018-04-13,348,725,374500,326114,408633,374500,358450,1059,1070,994.25,109383.6,974.8625267
2018-04-20,336,725,353100,315418.2,408633,395900,353100,1093,1070,995.01,110445.2,974.479209
2018-04-27,320,725,355080,312908.8,410924.4,390588,355080,1122,1076,983.99,110298.8,974.0958914
2018-05-04,313,725,364026,313986.8,378027,390951,355410,1142,1077,987.38,110396.2,973.7125738
2018-05-11,305,725,363460,314986.8,375219,388047,352770,1091,1069,978.22,109572.2,973.3292561
2018-05-18,307,725,367200,313438,379080,391500,372600,1053,1080,973.41,113884.9,972.9459385
2018-05-25,317,725,366180,326332.8,378027,390412.5,371565,997,1077,982.93,113576.15,972.5626209
2018-06-01,331,725,363181,328495.7,377149.5,387357.3,365330,907,1074.5,983.52,112033.43,972.1793032
