metric_name,date,p10,p50,p90
priceJP,2021-10-04,441.3359069824,454.5979614258,469.8901977539
priceJP,2021-10-11,425.6501464844,447.5223083496,474.399597168
priceJP,2021-10-18,409.551574707,441.2679443359,474.0768737793
priceJP,2021-10-25,387.7987365723,431.4483642578,474.2203979492
priceJP,2021-11-01,377.6693115234,423.1252441406,469.440246582
priceJP,2021-11-08,369.0490722656,414.0619506836,467.9958190918
priceJP,2021-11-15,362.8417663574,406.2136230469,464.3211364746
priceJP,2021-11-22,356.1874694824,399.3903503418,452.9914855957
priceJP,2021-11-29,346.7941589355,394.526763916,447.4927368164
priceJP,2021-12-06,339.4674072266,387.4093017578,446.7324829102
priceJP,2021-12-13,327.4761352539,375.9554138184,439.5054321289
priceJP,2021-12-20,321.84765625,374.5322875977,438.634765625
priceJP,2021-12-27,311.2061462402,371.1719055176,432.8721618652
priceJP,2022-01-03,309.4076843262,363.3689880371,431.1411437988
priceJP,2022-01-10,312.8529968262,356.7654724121,432.4463806152
priceJP,2022-01-17,314.506072998,352.231628418,420.3559570312
priceJP,2022-01-24,299.4906005859,348.8473510742,405.8674316406
priceJP,2022-01-31,289.7189331055,340.2268371582,402.6571655273
priceJP,2022-02-07,288.4234619141,332.8435974121,397.8700256348
priceJP,2022-02-14,278.8378601074,327.0169677734,384.9383544922
priceUSA_TAIWAN,2021-10-04,447.7512512207,460.3063049316,474.7807922363
priceUSA_TAIWAN,2021-10-11,429.2052001953,449.852355957,475.2442626953
priceUSA_TAIWAN,2021-10-18,410.2639160156,440.1757202148,471.1596374512
priceUSA_TAIWAN,2021-10-25,386.4449768066,427.1711120605,467.2066040039
priceUSA_TAIWAN,2021-11-01,374.2088317871,416.3728027344,459.3920288086
priceUSA_TAIWAN,2021-11-08,364.3146057129,405.6802978516,455.3204040527
priceUSA_TAIWAN,2021-11-15,357.0911865234,396.4517822266,449.5037841797
priceUSA_TAIWAN,2021-11-22,349.9816589355,388.4263916016,436.7432250977
priceUSA_TAIWAN,2021-11-29,339.6935424805,382.6755065918,429.7115783691
priceUSA_TAIWAN,2021-12-06,332.9291381836,374.934967041,426.3989257812
priceUSA_TAIWAN,2021-12-13,323.0928344727,365.5950317383,417.3229370117
priceUSA_TAIWAN,2021-12-20,316.3934020996,362.7541809082,416.3313598633
priceUSA_TAIWAN,2021-12-27,306.8707275391,358.2162780762,407.6569213867
