weightA_p50,scrap_gap_50,weightA_p90,scrap_gap_90,weightA_p10,scrap_gap_10
295000.0,-3.0,295000.0,-3.0,295000.0,-3.0
280000.0,-3.0,280000.0,-3.0,280000.0,-3.0
270000.0,-3.0,270000.0,-3.0,270000.0,-3.0
270000.0,-3.0,270000.0,-3.0,270000.0,-3.0
264000.0,620000.0,264000.0,620000.0,264000.0,620000.0
256000.0,620000.0,256000.0,620000.0,256000.0,620000.0
255000.0,620000.0,255000.0,620000.0,255000.0,620000.0
252000.0,620000.0,252000.0,620000.0,252000.0,620000.0
252000.0,-1.0,252000.0,-1.0,252000.0,-1.0
263000.0,-1.0,263000.0,-1.0,263000.0,-1.0
278000.0,-1.0,278000.0,-1.0,278000.0,-1.0
284000.0,-1.0,284000.0,-1.0,284000.0,-1.0
277000.0,-1.0,277000.0,-1.0,277000.0,-1.0
271000.0,-3.0,271000.0,-3.0,271000.0,-3.0
264000.0,-3.0,264000.0,-3.0,264000.0,-3.0
263000.0,-3.0,263000.0,-3.0,263000.0,-3.0
260000.0,-3.0,260000.0,-3.0,260000.0,-3.0
254000.0,628079.6538461539,254000.0,628079.6538461539,254000.0,628079.6538461539
250000.0,628079.6538461539,250000.0,628079.6538461539,250000.0,628079.6538461539
246000.0,628079.6538461539,246000.0,628079.6538461539,246000.0,628079.6538461539
239000.0,619999.4871794872,239000.0,619999.4871794872,239000.0,619999.4871794872
239000.0,619999.4871794872,239000.0,619999.4871794872,239000.0,619999.4871794872
240000.0,619999.4871794872,240000.0,619999.4871794872,240000.0,619999.4871794872
250000.0,619999.4871794872,250000.0,619999.4871794872,250000.0,619999.4871794872
261000.0,619999.4871794872,261000.0,619999.4871794872,261000.0,619999.4871794872
261000.0,617273.5205128205,261000.0,617273.5205128205,261000.0,617273.5205128205
257000.0,617273.5205128205,257000.0,617273.5205128205,257000.0,617273.5205128205
253000.0,617273.5205128205,253000.0,617273.5205128205,253000.0,617273.5205128205
254000.0,617273.5205128205,254000.0,617273.5205128205,254000.0,617273.5205128205
258000.0,652674.3833333333,258000.0,652674.3833333333,258000.0,652674.3833333333
273000.0,652674.3833333333,273000.0,652674.3833333333,273000.0,652674.3833333333
288000.0,652674.3833333333,288000.0,652674.3833333333,288000.0,652674.3833333333
300000.0,652674.3833333333,300000.0,652674.3833333333,300000.0,652674.3833333333
302000.0,666949.0083333333,302000.0,666949.0083333333,302000.0,666949.0083333333
303000.0,666949.0083333333,303000.0,666949.0083333333,303000.0,666949.0083333333
316000.0,666949.0083333333,316000.0,666949.0083333333,316000.0,666949.0083333333
326000.0,666949.0083333333,326000.0,666949.0083333333,326000.0,666949.0083333333
