date,metric_name,p10,p50,p90
2021-10-18,importPriceUSA,598944.30,617924.20,685506.00
2021-10-25,importPriceUSA,385942.20,618439.90,717583.10
2021-11-01,importPriceUSA,577608.50,610207.40,704314.90
2021-11-08,importPriceUSA,585751.20,645999.30,645999.30
2021-11-15,importPriceUSA,587235.40,633907.30,732318.90
2021-11-22,importPriceUSA,625024.50,625024.50,765259.20
2021-11-29,importPriceUSA,592230.70,668421.60,668421.60
2021-12-06,importPriceUSA,547395.00,669663.60,740551.50
2021-12-13,importPriceUSA,607998.60,671643.30,750332.10
2021-12-20,importPriceUSA,614154.60,675882.00,776931.30
2021-12-27,importPriceUSA,674400.40,674400.40,806824.20
2022-01-03,importPriceUSA,624679.60,699014.90,819087.60
2022-01-10,importPriceUSA,638411.10,737612.30,737612.30
2022-01-17,importPriceUSA,725115.60,725115.60,725115.60
2022-01-24,importPriceUSA,519194.80,724243.30,847092.50
2022-01-31,importPriceUSA,633200.50,764050.90,764050.90
2022-02-07,importPriceUSA,632880.50,762936.10,762936.10
2022-02-14,importPriceUSA,705065.30,705065.30,849630.30
2022-02-21,importPriceUSA,646971.20,738381.90,873638.80
2022-02-28,importPriceUSA,665233.80,757054.40,867935.40
2021-10-18,priceJP,500351.80,518287.80,574092.50
2021-10-25,priceJP,324260.50,519472.50,603520.50
2021-11-01,priceJP,484060.80,512380.90,588848.90
2021-11-08,priceJP,489970.90,540249.60,540249.60
2021-11-15,priceJP,492305.40,532315.40,614677.00
2021-11-22,priceJP,522218.00,522218.00,636953.40
2021-11-29,priceJP,493024.30,557019.30,557019.30
2021-12-06,priceJP,457190.70,558892.80,617836.30
2021-12-13,priceJP,510160.90,564082.80,630378.50
2021-12-20,priceJP,512718.30,566590.40,650310.10
2021-12-27,priceJP,561898.90,561898.90,671438.80
2022-01-03,priceJP,523004.40,587350.90,687324.70
2022-01-10,priceJP,534106.90,614635.10,614635.10
2022-01-17,priceJP,607860.40,607860.40,607860.40
2022-01-24,priceJP,433759.80,605778.00,709585.00
2022-01-31,priceJP,528276.10,636924.60,636924.60
2022-02-07,priceJP,529641.10,638442.90,638442.90
2022-02-14,priceJP,591146.00,591146.00,712991.30
2022-02-21,priceJP,543227.10,618850.40,732079.30
2022-02-28,priceJP,555136.80,631649.60,722831.40
2021-10-18,priceCN,686341.30,708053.40,784234.20
2021-10-25,priceCN,443736.90,708451.10,824729.90
2021-11-01,priceCN,666606.40,704036.90,810059.10
2021-11-08,priceCN,675731.70,743118.60,743118.60
2021-11-15,priceCN,674308.10,726707.80,842849.90
2021-11-22,priceCN,718807.20,718807.20,880670.30
2021-11-29,priceCN,677451.80,759877.80,759877.80
2021-12-06,priceCN,631084.10,771601.00,854535.00
2021-12-13,priceCN,702956.90,777382.90,871271.30
2021-12-20,priceCN,706297.10,777028.30,894821.00
2021-12-27,priceCN,778126.50,778126.50,929683.40
2022-01-03,priceCN,720104.80,810636.10,951822.60
2022-01-10,priceCN,734923.60,846950.40,846950.40
2022-01-17,priceCN,837715.30,837715.30,837715.30
2022-01-24,priceCN,601969.30,839619.80,984412.80
2022-01-31,priceCN,731823.00,885668.60,885668.60
2022-02-07,priceCN,734949.40,889382.30,889382.30
2022-02-14,priceCN,820293.20,820293.20,990368.60
2022-02-21,priceCN,749812.30,859687.40,1018440.00
2022-02-28,priceCN,766008.80,875926.80,1001605.00
2021-10-18,priceUSA_TAIWAN,538998.60,557778.10,616674.10
2021-10-25,priceUSA_TAIWAN,350857.70,560473.10,652356.90
2021-11-01,priceUSA_TAIWAN,524997.30,556206.80,639600.10
2021-11-08,priceUSA_TAIWAN,532947.90,586706.10,586706.10
2021-11-15,priceUSA_TAIWAN,531941.60,574846.70,665891.60
2021-11-22,priceUSA_TAIWAN,563587.50,563587.50,688799.90
2021-11-29,priceUSA_TAIWAN,531228.60,596953.50,596953.50
2021-12-06,priceUSA_TAIWAN,494323.00,603389.90,668537.50
2021-12-13,priceUSA_TAIWAN,553304.70,611986.40,685740.60
2021-12-20,priceUSA_TAIWAN,554718.30,612647.30,703549.60
2021-12-27,priceUSA_TAIWAN,608737.90,608737.90,726765.90
2022-01-03,priceUSA_TAIWAN,565379.40,636786.60,746963.10
2022-01-10,priceUSA_TAIWAN,576829.90,663634.80,663634.80
2022-01-17,priceUSA_TAIWAN,658130.80,658130.80,658130.80
2022-01-24,priceUSA_TAIWAN,471722.50,658604.50,771715.30
2022-01-31,priceUSA_TAIWAN,573979.40,693935.00,693935.00
2022-02-07,priceUSA_TAIWAN,576678.90,696792.50,696792.50
2022-02-14,priceUSA_TAIWAN,644348.10,644348.10,778153.30
2022-02-21,priceUSA_TAIWAN,589570.80,675268.20,800088.60
2022-02-28,priceUSA_TAIWAN,601551.20,689287.30,787490.90
2021-10-18,importPriceJP,573406.20,598741.30,660986.10
2021-10-25,importPriceJP,376023.80,602535.90,700031.70
2021-11-01,importPriceJP,558360.90,596090.30,685423.10
2021-11-08,importPriceJP,565421.30,625511.90,625511.90
2021-11-15,importPriceJP,569646.80,621899.70,717176.30
2021-11-22,importPriceJP,598420.30,598420.30,726754.40
2021-11-29,importPriceJP,563527.30,637589.70,637589.70
2021-12-06,importPriceJP,521298.10,634930.30,703424.80
2021-12-13,importPriceJP,586285.70,647356.60,723522.30
