metric_name,date,p10,p50,p90
weightA,2021-10-18,564.5648803710938,582.9238891601562,582.9238891601562
weightA,2021-10-25,571.1726684570312,584.6106567382812,606.1177368164062
weightA,2021-11-01,563.899658203125,585.4777221679688,611.5285034179688
weightA,2021-11-08,582.140380859375,617.9037475585938,617.9037475585938
weightA,2021-11-15,590.0535278320312,613.1497802734375,642.6705932617188
weightA,2021-11-22,605.6041259765625,650.3757934570312,650.3757934570312
weightA,2021-11-29,616.7550048828125,659.7857055664062,659.7857055664062
weightA,2021-12-06,623.5172729492188,657.7426147460938,691.7484741210938
weightA,2021-12-13,633.27685546875,678.9410400390625,678.9410400390625
weightA,2021-12-20,637.4397583007812,664.6170654296875,693.388427734375
weightA,2021-12-27,643.8772583007812,693.0839233398438,716.7229614257812
weightA,2022-01-03,656.5416870117188,699.3963623046875,723.0919799804688
weightA,2022-01-10,653.8604125976562,712.0792846679688,712.0792846679688
weightA,2022-01-17,705.6351318359375,705.6351318359375,705.6351318359375
weightA,2022-01-24,583.5185546875,719.3345947265625,743.9515991210938
weightA,2022-01-31,679.9464111328125,734.5952758789062,734.5952758789062
weightA,2022-02-07,681.5748901367188,744.4500122070312,744.4500122070312
weightA,2022-02-14,731.65087890625,731.65087890625,766.36572265625
weightA,2022-02-21,687.4515991210938,752.8231811523438,752.8231811523438
weightA,2022-02-28,695.847412109375,755.1165161132812,781.8829345703125
