Date	name	value
2003-01-02	중국 냉연 내수가 (전국평균) (RMB/톤)	4713
2003-01-03	중국 냉연 내수가 (전국평균) (RMB/톤)	4713
2003-01-06	중국 냉연 내수가 (전국평균) (RMB/톤)	4758
2003-01-07	중국 냉연 내수가 (전국평균) (RMB/톤)	4713
2003-01-08	중국 냉연 내수가 (전국평균) (RMB/톤)	4758
2003-01-09	중국 냉연 내수가 (전국평균) (RMB/톤)	4788
2003-01-10	중국 냉연 내수가 (전국평균) (RMB/톤)	4790
2003-01-13	중국 냉연 내수가 (전국평균) (RMB/톤)	4795
2003-01-14	중국 냉연 내수가 (전국평균) (RMB/톤)	4818
2003-01-15	중국 냉연 내수가 (전국평균) (RMB/톤)	4835
2003-01-16	중국 냉연 내수가 (전국평균) (RMB/톤)	4844
2003-01-17	중국 냉연 내수가 (전국평균) (RMB/톤)	4860
2003-01-20	중국 냉연 내수가 (전국평균) (RMB/톤)	4869
2003-01-21	중국 냉연 내수가 (전국평균) (RMB/톤)	4900
2003-01-22	중국 냉연 내수가 (전국평균) (RMB/톤)	4909
2003-01-23	중국 냉연 내수가 (전국평균) (RMB/톤)	4918
2003-01-24	중국 냉연 내수가 (전국평균) (RMB/톤)	4947
2003-01-27	중국 냉연 내수가 (전국평균) (RMB/톤)	4947
2003-01-28	중국 냉연 내수가 (전국평균) (RMB/톤)	4947
2003-01-29	중국 냉연 내수가 (전국평균) (RMB/톤)	4947
2003-02-10	중국 냉연 내수가 (전국평균) (RMB/톤)	4989
2003-02-11	중국 냉연 내수가 (전국평균) (RMB/톤)	5000
2003-02-12	중국 냉연 내수가 (전국평균) (RMB/톤)	5000
2003-02-13	중국 냉연 내수가 (전국평균) (RMB/톤)	5002
2003-02-14	중국 냉연 내수가 (전국평균) (RMB/톤)	5002
2003-02-17	중국 냉연 내수가 (전국평균) (RMB/톤)	5002
2003-02-18	중국 냉연 내수가 (전국평균) (RMB/톤)	5002
2003-02-19	중국 냉연 내수가 (전국평균) (RMB/톤)	5002
2003-02-20	중국 냉연 내수가 (전국평균) (RMB/톤)	5017
2003-02-21	중국 냉연 내수가 (전국평균) (RMB/톤)	5027
2003-02-24	중국 냉연 내수가 (전국평균) (RMB/톤)	5039
2003-02-25	중국 냉연 내수가 (전국평균) (RMB/톤)	5039
2003-02-26	중국 냉연 내수가 (전국평균) (RMB/톤)	5048
2003-02-27	중국 냉연 내수가 (전국평균) (RMB/톤)	5048
2003-02-28	중국 냉연 내수가 (전국평균) (RMB/톤)	5053
2003-03-03	중국 냉연 내수가 (전국평균) (RMB/톤)	5053
2003-03-04	중국 냉연 내수가 (전국평균) (RMB/톤)	5041
2003-03-05	중국 냉연 내수가 (전국평균) (RMB/톤)	5036
2003-03-06	중국 냉연 내수가 (전국평균) (RMB/톤)	5034
2003-03-07	중국 냉연 내수가 (전국평균) (RMB/톤)	5034
2003-03-10	중국 냉연 내수가 (전국평균) (RMB/톤)	5034
2003-03-11	중국 냉연 내수가 (전국평균) (RMB/톤)	5034
2003-03-12	중국 냉연 내수가 (전국평균) (RMB/톤)	5034
2003-03-13	중국 냉연 내수가 (전국평균) (RMB/톤)	5030
2003-03-14	중국 냉연 내수가 (전국평균) (RMB/톤)	5027
2003-03-17	중국 냉연 내수가 (전국평균) (RMB/톤)	5027
2003-03-18	중국 냉연 내수가 (전국평균) (RMB/톤)	5005
2003-03-19	중국 냉연 내수가 (전국평균) (RMB/톤)	4975
2003-03-20	중국 냉연 내수가 (전국평균) (RMB/톤)	4975
2003-03-21	중국 냉연 내수가 (전국평균) (RMB/톤)	4964
2003-03-24	중국 냉연 내수가 (전국평균) (RMB/톤)	4937
2003-03-25	중국 냉연 내수가 (전국평균) (RMB/톤)	4925
2003-03-26	중국 냉연 내수가 (전국평균) (RMB/톤)	4922
2003-03-27	중국 냉연 내수가 (전국평균) (RMB/톤)	4903
2003-03-28	중국 냉연 내수가 (전국평균) (RMB/톤)	4879
2003-03-31	중국 냉연 내수가 (전국평균) (RMB/톤)	4879
2003-04-01	중국 냉연 내수가 (전국평균) (RMB/톤)	4850
2003-04-02	중국 냉연 내수가 (전국평균) (RMB/톤)	4816
2003-04-03	중국 냉연 내수가 (전국평균) (RMB/톤)	4807
2003-04-04	중국 냉연 내수가 (전국평균) (RMB/톤)	4816
2003-04-07	중국 냉연 내수가 (전국평균) (RMB/톤)	4807
2003-04-08	중국 냉연 내수가 (전국평균) (RMB/톤)	4801
2003-04-09	중국 냉연 내수가 (전국평균) (RMB/톤)	4794
2003-04-10	중국 냉연 내수가 (전국평균) (RMB/톤)	4768
2003-04-11	중국 냉연 내수가 (전국평균) (RMB/톤)	4721
2003-04-14	중국 냉연 내수가 (전국평균) (RMB/톤)	4721
2003-04-15	중국 냉연 내수가 (전국평균) (RMB/톤)	4671
2003-04-16	중국 냉연 내수가 (전국평균) (RMB/톤)	4671
