date,분기고시가,weightA,priceUSA_TAIWAN,priceJP,priceCN,importPriceUSA,importPriceJP,stock
2021-10-01,928,528,464,455,582,475,455,955
2021-09-24,930,527,464,448,574,475,455,938
2021-09-17,930,535,455,443,586,475,455,938
2021-09-10,930,537,453,445,586,475,450,870
2021-09-03,930,545,443,449,574,475,455,788
2021-08-27,925,551,442,455,571,513.5,450,688
2021-08-20,925,546,441,460,577,513.5,450,690
2021-08-13,925,545,435,461,586,513.5,455,705
2021-08-06,925,545,435,467,596,513.5,455,756
2021-07-30,862,545,440,468,596,513.5,470,778
2021-07-23,862,534,459,470,582,513.5,475,711
2021-07-16,862,533,462,471,583,513.5,480,713
2021-07-09,862,523,465,471,581,513.5,480,725
2021-07-02,862,511,457,469,582,510,490,784
2021-06-25,845,511,452,464,583,510,490,777
2021-06-18,845,499,450,465,572,510,510,803
2021-06-11,845,493,445,464,562,515,470,821
2021-06-04,845,492,440,465,560,538,460,790
2021-05-28,803,492,459,465,606,538,470,776
2021-05-21,803,472,472,454,651,505,490,855
2021-05-14,803,443,457,405,578,505,500,895
2021-05-07,803,430,435,404,547,447,430,968
2021-04-30,803,429,420,404,540,431,430,957
2021-04-23,803,429,422,402,537,431,430,894
2021-04-16,803,415,430,379,520,431,430,904
2021-04-09,803,409,415,377,517,431,415,962
2021-04-02,803,394,401,379,516,431,400,936
2021-03-26,715,396,390,383,497,431,400,938
2021-03-19,715,405,400,386,497,431,410,853
2021-03-12,715,412,427,393,497,443.5,420,839
2021-03-05,715,401,430,381,497,443.5,435,818
2021-02-26,715,382,425,369,494,443.5,425,912
2021-02-19,715,361,400,353,494,391,405,945
2021-02-10,715,360,367,337,494,398,350,943
2021-02-05,715,369,367,336,494,398,350,939
2021-01-29,715,381,395,370,455,440,350,972
2021-01-22,715,404,417,388,455,440,395,918
2021-01-15,715,418,445,389,455,440,420,795
2021-01-08,715,408,447,389,455,440,430,733
2021-01-01,715,387,447,369,441,440,420,811
2020-12-25,685,377,437,369,441,440,420,852
2020-12-18,685,329,400,342,441,440,415,831
2020-12-11,685,312,365,312,441,306,400,845
2020-12-04,685,312,323,291,441,306,330,853
2020-11-27,685,312,312,281,400,306,320,855
2020-11-20,685,308,308,270,400,306,305,810
2020-11-13,685,303,292,257,400,306,305,857
2020-11-06,685,287,288,250,400,306,285,925
2020-10-30,685,283,280,247,403,306,275,933
2020-10-23,685,285,275,246,403,306,260,908
2020-10-16,685,289,265,246,403,306,260,893
2020-10-09,685,288,269,246,403,306,270,920
2020-10-02,685,289,270,246,403,306,270,912
2020-09-25,660,298,277,245,393,282,270,852
2020-09-18,660,301,287,237,393,282,280,837
2020-09-11,660,306,280,232,393,282,280,808
2020-09-04,660,308,270,231,393,282,270,731
2020-08-28,660,294,268,225,381,282,270,632
2020-08-21,660,293,260,212,381,282,270,596
