date,분기고시가,weightA,priceUSA_TAIWAN,priceJP,priceCN,importPriceUSA,importPriceJP,stock,USD_KR,JPY_KR
2021-10-15,928,546,473,503,585,515,535,884,1183.00,1035.04
2021-10-08,928,535,463,473,583,515,520,914,1190.50,1068.58
2021-10-01,928,528,464,455,582,515,455,955,1186.00,1058.60
2021-09-24,930,527,464,448,574,475,455,938,1174.00,1068.49
2021-09-17,930,535,455,443,586,475,455,938,1173.50,1072.82
2021-09-10,930,537,453,445,586,475,450,870,1170.00,1064.27
2021-09-03,930,545,443,449,574,475,455,788,1157.00,1052.63
2021-08-27,925,551,442,455,571,513.5,450,688,1170.00,1062.09
2021-08-20,925,546,441,460,577,513.5,450,690,1184.00,1079.31
2021-08-13,925,545,435,461,586,513.5,455,705,1169.00,1059.98
2021-08-06,925,545,435,467,596,513.5,455,756,1143.00,1041.32
2021-07-30,862,545,440,468,596,513.5,470,778,1147.50,1047.79
2021-07-23,862,534,459,470,582,513.5,475,711,1150.50,1041.41
2021-07-16,862,533,462,471,583,513.5,480,713,1141.00,1036.38
2021-07-09,862,523,465,471,581,513.5,480,725,1148.50,1043.19
2021-07-02,862,511,457,469,582,510,490,784,1136.00,1019.25
2021-06-25,845,511,452,464,583,510,490,777,1128.00,1018.65
2021-06-18,845,499,450,465,572,510,510,803,1130.50,1026.46
2021-06-11,845,493,445,464,562,515,470,821,1112.50,1015.94
2021-06-04,845,492,440,465,560,538,460,790,1115.50,1012.62
2021-05-28,803,492,459,465,606,538,470,776,1114.50,1014.85
2021-05-21,803,472,472,454,651,505,490,855,1128.50,1038.70
2021-05-14,803,443,457,405,578,505,500,895,1128.00,1032.07
2021-05-07,803,430,435,404,547,447,430,968,1120.50,1026.66
2021-04-30,803,429,420,404,540,431,430,957,1113.00,1022.18
2021-04-23,803,429,422,402,537,431,430,894,1116.50,1034.52
2021-04-16,803,415,430,379,520,431,430,904,1114.50,1023.70
2021-04-09,803,409,415,377,517,431,415,962,1120.00,1021.48
2021-04-02,803,394,401,379,516,431,400,936,1128.00,1021.79
2021-03-26,715,396,390,383,497,431,400,938,1129.50,1031.98
2021-03-19,715,405,400,386,497,431,410,853,1130.00,1039.89
2021-03-12,715,412,427,393,497,443.5,420,839,1136.50,1041.95
2021-03-05,715,401,430,381,497,443.5,435,818,1129.00,1040.89
2021-02-26,715,382,425,369,494,443.5,425,912,1123.00,1058.19
2021-02-19,715,361,400,353,494,391,405,945,1103.50,1047.71
2021-02-10,715,360,367,337,494,398,350,943,1105.00,1058.18
2021-02-05,715,369,367,336,494,398,350,939,1123.00,1065.82
2021-01-29,715,381,395,370,455,440,350,972,1117.50,1067.95
2021-01-22,715,404,417,388,455,440,395,918,1105.00,1066.24
2021-01-15,715,418,445,389,455,440,420,795,1100.00,1060.39
2021-01-08,715,408,447,389,455,440,430,733,1092.00,1050.76
2021-01-01,715,387,447,369,441,440,420,811,1087.00,1054.06
2020-12-25,685,377,437,369,441,440,420,852,1103.00,1064.72
2020-12-18,685,329,400,342,441,440,415,831,1098.50,1061.71
2020-12-11,685,312,365,312,441,306,400,845,1092.00,1048.54
2020-12-04,685,312,323,291,441,306,330,853,1084.00,1042.61
2020-11-27,685,312,312,281,400,306,320,855,1105.00,1062.24
2020-11-20,685,308,308,270,400,306,305,810,1116.50,1075.16
2020-11-13,685,303,292,257,400,306,305,857,1113.50,1059.47
2020-11-06,685,287,288,250,400,306,285,925,1121.00,1083.56
2020-10-30,685,283,280,247,403,306,275,933,1134.50,1086.63
2020-10-23,685,285,275,246,403,306,260,908,1128.00,1078.34
2020-10-16,685,289,265,246,403,306,260,893,1146.00,1089.09
2020-10-09,685,288,269,246,403,306,270,920,1152.50,1087.06
2020-10-02,685,289,270,246,403,306,270,912,1169.00,1106.11
2020-09-25,660,298,277,245,393,282,270,852,1172.00,1112.00
2020-09-18,660,301,287,237,393,282,280,837,1161.00,1111.27
2020-09-11,660,306,280,232,393,282,280,808,1187.00,1117.33
2020-09-04,660,308,270,231,393,282,270,731,1189.00,1119.75
2020-08-28,660,294,268,225,381,282,270,632,1184.00,1117.98
2020-08-21,660,293,260,212,381,282,270,596,1189.00,1126.75
2020-08-14,660,272,258,209,381,282,250,745,1186.00,1111.48
2020-08-07,660,260,253,206,381,282,250,907,1185.50,1122.63
2020-07-31,660,259,247,206,368,282,250,993,1190.00,1136.58
2020-07-24,660,260,243,205,368,282,240,1038,1203.00,1130.69
2020-07-17,660,265,236,205,368,282,230,1037,1204.50,1124.08
2020-07-10,660,276,235,207,368,282,225,1041,1201.50,1125.47
2020-07-03,660,286,234,225,368,282,230,992,1199.00,1115.77
2020-06-26,663,296,245,231,355,282,250,854,1199.50,1122.13
2020-06-19,663,296,255,225,355,282,255,783,1208.00,1129.76
2020-06-12,663,294,245,211,355,255,255,783,1203.00,1121.21
2020-06-05,663,282,237,195,355,255,245,826,1209.00,1106.69
2020-05-29,663,271,230,181,324,255,235,767,1237.50,1153.84
2020-05-22,663,260,230,176,324,255,230,765,1240.50,1153.52
2020-05-15,663,262,229,176,324,255,230,748,1230.50,1149.14
2020-05-08,663,245,219,177,324,261,215,809,1221.00,1148.26
2020-05-01,663,242,227,177,367,261,185,905,1219.00,1144.44
2020-04-24,663,227,223,178,367,261,185,919,1232.50,1144.44
2020-04-17,663,233,213,181,367,261,185,976,1217.00,1128.99
2020-04-10,663,233,198,181,367,261,185,1034,1212.00,1118.18
2020-04-03,663,242,203,181,367,261,190,992,1233.00,1137.98
2020-03-27,660,243,213,185,384,261,210,968,1222.00,1121.62
2020-03-20,660,250,225,185,384,261,215,961,1241.50,1130.23
2020-03-13,660,254,233,186,384,261,235,962,1218.50,1151.43
2020-03-06,660,251,243,185,384,261,235,1004,1188.00,1123.20
2020-02-28,660,250,247,185,392,261,245,999,1210.00,1113.46
2020-02-21,660,253,230,185,392,261,220,1030,1211.50,1084.32
2020-02-14,660,261,217,197,392,261,220,1026,1182.50,1076.81
2020-02-07,660,271,235,216,392,261,230,938,1191.00,1083.41
2020-01-31,660,272,250,227,388,287.5,255,875,1194.00,1095.41
2020-01-24,660,274,250,231,388,287.5,255,838,1168.00,1066.62
2020-01-17,660,280,260,232,388,285,260,780,1159.00,1051.68
2020-01-10,660,274,268,232,388,285,255,787,1161.50,1060.15
2020-01-03,660,263,270,231,390,285,265,851,1167.50,1081.72
2019-12-27,714,263,270,231,390,285,265,817,1162.00,1061.36
2019-12-20,714,265,267,231,390,285,265,823,1160.50,1061.17
2019-12-13,714,261,261,224,390,285,253,823,1171.50,1068.84
2019-12-06,714,261,254,221,390,275,250,866,1189.50,1095.25
2019-11-29,714,243,250,218,387.1,244,250,898,1180.00,1077.28
2019-11-22,714,241,248,212,387.1,244,240,951,1177.00,1083.64
2019-11-15,714,240,244,207,387.1,244,220,1016,1167.00,1075.23
2019-11-08,714,245,243,207,387,244,220,1048,1157.50,1058.96
2019-11-01,714,254,240,207,380,244,220,1062,1165.50,1079.12
2019-10-25,714,265,233,209,380,244,220,1050,1173.50,1080.47
2019-10-18,714,279,223,209,380,244,220,1057,1181.00,1086.63
2019-10-11,714,293,223,214,380,244,220,1068,1186.00,1098.40
2019-10-04,714,300,229,219,380,244,240,1046,1197.00,1121.42
2019-09-27,731,311,235,220,381,275,240,974,1199.00,1111.27
2019-09-20,731,320,244,222,381,275,250,920,1189.00,1101.80
2019-09-13,731,326,252,232,381,280,260,926,1194.50,1109.10
2019-09-06,731,324,257,240,381,281,260,915,1195.50,1116.87
2019-08-30,731,326,269,244,397,305,270,918,1209.00,1136.22
2019-08-23,731,327,275,244,397,305,270,873,1211.00,1135.97
2019-08-16,731,322,280,244,397,305,270,918,1211.00,1140.30
2019-08-09,731,313,285,244,397,305,275,981,1211.00,1144.40
2019-08-02,731,314,280,244,379,305,275,1041,1200.50,1123.01
2019-07-26,731,316,283,243,379,305,270,1094,1184.50,1090.38
2019-07-19,731,316,280,243,379,305,270,1157,1175.50,1092.47
2019-07-12,731,322,278,243,379,305,270,1073,1179.00,1088.64
2019-07-05,731,324,270,248,379,305,270,1116,1171.50,1084.52
2019-06-28,722,334,268,260,375,305,280,976,1155.50,1072.80
2019-06-21,722,341,275,271,387,305,280,976,1164.50,1084.02
2019-06-14,722,344,290,279,375,308,290,883,1185.50,1095.25
2019-06-07,722,347,290,281,375,308,300,927,1185.50,1092.63
2019-05-31,722,327,285,284,387,308,300,996,1191.00,1094.62
2019-05-24,722,328,275,285,387,308,300,984,1188.50,1084.84
2019-05-17,722,326,280,288,387,308,305,1035,1196.00,1091.29
2019-05-10,722,317,280,292,387,312,305,1067,1178.00,1072.57
2019-05-03,722,320,283,297,387,329,310,1126,1170.50,1049.97
2019-04-26,722,330,283,297,389,329,310,1093,1160.50,1039.31
2019-04-19,722,344,283,305,389,329,315,1022,1136.50,1015.55
2019-04-12,722,357,290,316,389,331,325,884,1138.00,1016.79
2019-04-05,722,342,300,323,389,333,330,957,1138.00,1018.80
2019-03-29,733,338,310,320,396,350,340,927,1136.00,1025.36
2019-03-22,733,338,306,316,396,350,340,870,1134.00,1025.31
2019-03-15,733,338,300,314,396,338,340,878,1136.50,1017.82
2019-03-08,733,334,299,309,396,338,320,918,1137.00,1024.23
2019-03-01,733,313,310,299,389,310,305,935,1124.00,1014.99
2019-02-22,733,310,305,289,389,310,305,967,1124.50,1015.17
2019-02-15,733,319,278,280,389,310,285,917,1129.50,1023.93
2019-02-08,733,327,275,280,389,310,285,913,1123.00,1022.78
2019-02-01,733,327,265,280,368,310,285,913,1118.50,1027.20
2019-01-25,733,335,260,280,368,302,285,838,1122.00,1021.30
2019-01-18,733,340,260,281,368,302,290,691,1122.00,1025.31
2019-01-11,733,328,265,287,368,308,295,776,1116.00,1030.57
2019-01-04,733,307,275,285,368,313,295,826,1124.00,1040.83
2018-12-28,745,306,275,285,382,313,295,917,1116.50,1011.14
2018-12-21,745,306,278,284,382,316,295,965,1123.50,1011.43
2018-12-14,745,306,283,283,382,325,295,1020,1134.00,998.50
2018-12-07,745,316,285,292,382,335,300,1065,1120.50,992.91
2018-11-30,745,319,295,301,385,335,305,1078,1122.00,989.49
2018-11-23,745,329,300,307,385,358,315,1058,1132.50,1003.37
2018-11-16,745,338,307,322,385,358,325,1035,1130.00,997.44
2018-11-09,745,348,315,339,385,358,340,1038,1129.00,991.92
2018-11-02,745,350,320,349,384,358,350,1071,1118.50,990.44
2018-10-26,745,356,328,349,384,358,350,1008,1141.00,1018.39
2018-10-19,745,356,333,347,384,358,373,1037,1133.00,1007.73
2018-10-12,745,357,336,347,384,358,373,1032,1133.00,1008.46
2018-10-05,745,355,335,346,384,358,355,1001,1130.00,992.71
2018-09-21,710,356,329,340,380,352,355,1015,1116.50,990.24
2018-09-14,710,361,325,338,380,352,355,987,1118.00,999.73
2018-09-07,710,362,320,341,380,352,355,961,1123.00,1013.90
2018-08-31,710,362,322,342,332,352,355,920,1116.00,1007.67
2018-08-24,710,363,323,338,332,352,358,910,1118.50,1003.95
2018-08-17,710,359,324,331,332,352,358,900,1124.50,1015.63
2018-08-10,710,353,325,331,332,349,358,951,1129.00,1018.68
2018-08-03,710,341,330,330,332,349,350,969,1128.00,1009.21
2018-07-27,710,337,335,329,342,357,350,960,1118.50,1005.94
2018-07-20,710,333,335,329,342,357,340,922,1135.00,1009.60
2018-07-13,710,340,335,329,342,357,330,905,1132.00,1003.63
2018-07-06,710,327,335,330,342,357.5,330,951,1116.00,1008.95
2018-06-29,725,319,330,331,372,357.5,330,973,1113.00,1005.61
2018-06-22,725,319,330,333,372,357.5,330,951,1107.50,1005.08
2018-06-15,725,326,325,336,372,357.5,335,983,1096.50,992.30
2018-06-08,725,330,330,336,372,360.5,340,892,1077.00,985.01
2018-06-01,725,331,338,334,351,360.5,340,907,1074.50,983.52
2018-05-25,725,317,340,332,351,362.5,345,997,1077.00,982.93
2018-05-18,725,307,340,322,351,362.5,345,1053,1080.00,973.41
2018-05-11,725,305,340,322,351,363,330,1091,1069.00,978.22
2018-05-04,725,313,338,318,351,363,330,1142,1077.00,987.38
2018-04-27,725,320,330,318,381.9,363,330,1122,1076.00,983.99
2018-04-20,725,336,330,317,381.9,370,330,1093,1070.00,995.01
2018-04-13,725,348,350,328,381.9,350,335,1059,1070.00,994.25
2018-04-06,725,354,355,343,379.2,350,350,997,1069.50,995.73
2018-03-30,715,359,355,353,379.2,350,360,931,1062.50,1000.19
2018-03-23,715,357,370,352,379.2,350,370,922,1080.00,1029.35
2018-03-16,715,341,365,349,379.2,350,370,924,1067.00,1008.41
2018-03-09,715,330,350,346,379.2,350,370,1003,1071.00,1003.48
2018-03-02,715,327,336,343,379.2,350,365,1071,1079.50,1020.71
2018-02-23,715,329,325,343,392.7,350,340,1050,1079.00,1009.64
2018-02-16,715,330,325,343,392.7,350,340,1051,1079.00,1005.31
2018-02-09,715,337,325,353,392.7,350,345,1026,1089.00,996.70
2018-02-02,715,345,340,359,392.7,350,355,998,1085.00,988.44
2018-01-26,715,356,352.5,360,374,350,365,962,1065.00,977.70
2018-01-19,715,361,357,348,374,350,370,899,1066.50,964.99
2018-01-12,715,354,350,343,374,350,360,907,1065.00,957.39
2018-01-05,715,349,345,342,305.5,350,360,927,1063.50,939.65
2017-12-29,685,348,340,342,305.5,350,360,957,1067.50,947.72
2017-12-22,685,348,330,342,305.5,350,360,936,1080.00,952.71
2017-12-15,685,346,325,339,305.5,350,355,934,1090.00,972.35
2017-12-08,685,341,309,333,305.5,350,350,953,1094.00,963.54
2017-12-01,685,328,309,332,277.1,347,340,941,1085.00,964.44
2017-11-24,685,319,305,323,277.1,325,335,987,1087.00,976.12
2017-11-17,685,301,303,313,277.1,325,330,1033,1099.50,976.65
2017-11-10,685,302,298,303,277.1,325,315,1030,1119.00,985.64
2017-11-03,685,308,287,295,277.1,322,310,981,1115.50,977.90
2017-10-27,685,310,281,295,275.8,322,305,942,1130.00,991.75
2017-10-20,685,319,275,295,275.8,322,305,897,1133.00,999.38
2017-10-13,685,328,275,296,274.8,322,305,800,1129.00,1007.50
2017-09-29,645,329,290,308,275.7,351,315,747,1146.50,1019.11
2017-09-22,645,326,295,303,275.7,351,325,733,1135.00,1013.57
2017-09-15,645,316,293,297,275.7,351,325,762,1131.00,1021.59
2017-09-08,645,303,294,297,275.7,351,325,783,1130.00,1049.02
2017-09-01,645,302,297,297,264.6,337,325,769,1122.00,1019.44
2017-08-25,645,300,297,287,264.6,337,335,728,1127.00,1027.82
2017-08-18,645,288,290,269,264.6,337,325,724,1141.00,1046.89
2017-08-11,645,273,280,263,264.6,282,310,767,1144.00,1049.64
2017-08-04,645,258,275,260,264.6,282,295,878,1125.50,1022.16
2017-07-28,645,254,270,256,226.2,282,295,915,1121.50,1008.54
2017-07-21,645,253,263,254,226.2,282,285,961,1119.00,1000.90
2017-07-14,645,257,258,242,226.2,282,265,941,1135.50,1002.29
2017-07-07,645,261,253,242,226.2,282,265,913,1154.00,1013.97
2017-06-30,635,261,249,242,221.1,280,260,939,1143.00,1021.80
2017-06-23,635,250,250,239,221.1,280,264,977,1138.00,1022.65
2017-06-16,635,240,248,230,221.1,280,260,1043,1133.50,1018.33
2017-06-09,635,239,242,229,221,280,240,1096,1124.00,1017.75
2017-06-02,635,239,238,229,221,280,240,1141,1123.00,1007.18
2017-05-26,635,246,238,227,241.6,280,250,1125,1119.00,1007.20
2017-05-19,635,250,238,229,241.6,280,240,1127,1123.00,1007.17
2017-05-12,635,254,232,230,241.6,280,240,1132,1127.50,992.43
2017-04-28,635,260,235,262,259.5,280,255,1117,1138.00,1023.38
2017-04-21,635,263,250,272,259.5,280,265,1181,1136.00,1041.34
2017-04-14,635,264,255,277,259.5,280,270,1205,1141.00,1047.94
2017-04-07,635,271,260,279,259.5,280,270,1194,1134.00,1025.32
2017-03-31,620,277,270,284,258.9,280,280,1117,1118.00,999.28
2017-03-24,620,284,278,284,258.9,280,290,1110,1122.50,1009.44
2017-03-17,620,278,281,279,258.9,279,305,1065,1133.00,1000.44
2017-03-10,620,263,276,264,258.9,279,305,1005,1157.50,1002.95
2017-03-03,620,252,269,252,258.9,279,290,1085,1157.00,1012.34
2017-02-24,620,252,251,245,253.7,279,285,1141,1131.50,1004.17
2017-02-17,620,255,245,247,253.7,279,265,1055,1148.00,1013.69
2017-02-10,620,256,237,248,253.7,279,255,1064,1148.00,1010.30
2017-02-03,620,264,244,253,253.7,279,245,1007,1149.00,1015.01
2017-01-27,620,270,255,255,253.4,279,250,1019,1162.50,1022.43
2017-01-20,620,270,251,256,253.4,279,270,944,1174.00,1021.06
2017-01-13,620,280,251,257,253.4,279,280,846,1175.00,1023.79
2017-01-06,620,295,253,254,253.4,283,280,869,1193.50,1027.29
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,525,,,,,,,,,
,525,,,,,,,,,
,525,,,,,,,,,
,525,,,,,,,,,
,525,,,,,,,,,
,525,,,,,,,,,
,525,,,,,,,,,
,525,,,,,,,,,
,525,,,,,,,,,
,525,,,,,,,,,
,525,,,,,,,,,
,525,,,,,,,,,
,525,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,585,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,600,,,,,,,,,
,645,,,,,,,,,
,645,,,,,,,,,
,645,,,,,,,,,
,645,,,,,,,,,
,645,,,,,,,,,
,645,,,,,,,,,
,645,,,,,,,,,
,645,,,,,,,,,
,645,,,,,,,,,
,645,,,,,,,,,
,645,,,,,,,,,
,645,,,,,,,,,
,645,,,,,,,,,
